iter	Passed	Remaining
280	2266	5800
281	2273	5788
282	2280	5777
283	2286	5764
284	2292	5752
285	2298	5737
286	2304	5725
287	2310	5712
288	2316	5698
289	2322	5685
290	2327	5671
291	2333	5657
292	2339	5646
293	2345	5632
294	2351	5620
295	2358	5608
296	2364	5596
297	2370	5584
298	2376	5572
299	2382	5559
300	2389	5548
301	2395	5536
302	2403	5529
303	2410	5518
304	2415	5504
305	2422	5493
306	2428	5481
307	2434	5469
308	2441	5460
309	2447	5447
310	2454	5437
311	2462	5430
312	2471	5424
313	2479	5417
314	2487	5409
315	2496	5402
316	2503	5393
317	2509	5382
318	2515	5370
319	2522	5361
320	2528	5348
321	2535	5338
322	2541	5327
323	2547	5314
324	2553	5304
325	2559	5292
326	2565	5280
327	2572	5270
328	2578	5258
329	2584	5248
330	2590	5236
331	2595	5222
332	2602	5212
333	2608	5200
334	2613	5188
335	2619	5176
336	2624	5164
337	2631	5153
338	2637	5143
339	2643	5130
340	2649	5119
341	2655	5108
342	2661	5097
343	2669	5090
344	2676	5080
345	2682	5070
346	2689	5061
347	2695	5049
348	2702	5041
349	2709	5031
350	2714	5019
351	2721	5009
352	2727	4998
353	2734	4989
354	2740	4979
355	2746	4968
356	2753	4959
357	2759	4947
358	2765	4937
359	2771	4927
360	2777	4916
361	2783	4906
362	2789	4895
363	2796	4886
364	2802	4875
365	2808	4864
366	2814	4853
367	2819	4842
368	2825	4831
369	2831	4821
370	2837	4810
371	2843	4801
372	2850	4791
373	2856	4780
374	2862	4770
375	2868	4761
376	2874	4750
377	2882	4742
378	2887	4732
379	2894	4722
380	2901	4714
381	2907	4703
382	2914	4694
383	2919	4684
384	2925	4673
385	2932	4664
386	2938	4654
387	2945	4645
388	2951	4635
389	2957	4625
390	2963	4616
391	2969	4605
392	2975	4595
393	2982	4586
394	2987	4576
395	2994	4567
396	3001	4558
397	3006	4547
398	3013	4539
399	3019	4528
400	3025	4519
401	3032	4511
402	3038	4501
403	3045	4492
404	3052	4484
405	3059	4475
406	3068	4470
407	3074	4460
408	3081	4452
409	3087	4442
410	3093	4433
411	3099	4423
412	3105	4413
413	3112	4405
414	3120	4398
415	3127	4389
416	3134	4382
417	3140	4373
418	3147	4363
419	3152	4353
420	3160	4345
421	3166	4336
422	3171	4326
423	3178	4317
424	3184	4308
425	3190	4299
426	3196	4290
427	3202	4280
428	3208	4270
429	3214	4260
430	3219	4250
431	3228	4244
432	3236	4237
433	3244	4231
434	3252	4224
435	3260	4217
436	3266	4208
437	3272	4199
438	3280	4192
439	3286	4183
440	3294	4175
441	3303	4170
442	3312	4164
443	3326	4165
444	3339	4165
445	3360	4173
446	3383	4185
447	3409	4201
448	3422	4199
449	3435	4198
450	3448	4197
451	3457	4191
452	3466	4186
453	3476	4181
454	3486	4175
455	3496	4171
456	3506	4166
457	3514	4159
458	3523	4153
459	3532	4147
460	3541	4141
461	3550	4134
462	3560	4129
463	3569	4123
464	3581	4120
465	3592	4117
466	3601	4110
467	3613	4107
468	3642	4123
469	3673	4142
470	3690	4144
471	3714	4155
472	3726	4151
473	3737	4147
474	3746	4140
475	3755	4134
476	3766	4129
477	3777	4125
478	3787	4119
479	3796	4113
480	3808	4108
481	3822	4108
482	3832	4102
483	3842	4096
484	3851	4090
485	3860	4082
486	3869	4075
487	3877	4068
488	3889	4064
489	3904	4063
490	3916	4059
491	3927	4055
492	3937	4049
493	3947	4043
494	3957	4037
495	3965	4029
496	3974	4022
497	3982	4014
498	3990	4006
499	3998	3998
500	4006	3990
501	4014	3982
502	4027	3979
503	4037	3973
504	4046	3966
505	4055	3959
506	4065	3953
507	4074	3945
508	4081	3937
509	4090	3929
510	4097	3920
511	4104	3911
512	4111	3902
513	4119	3895
514	4127	3887
515	4135	3879
516	4143	3870
517	4152	3863
518	4160	3855
519	4169	3849
520	4178	3842
521	4188	3835
522	4196	3827
523	4203	3818
524	4210	3809
525	4218	3801
526	4225	3792
527	4232	3783
528	4239	3774
529	4247	3766
530	4254	3757
531	4261	3749
532	4269	3740
533	4276	3732
534	4283	3723
535	4290	3714
536	4299	3706
537	4307	3699
538	4316	3691
539	4325	3684
540	4333	3676
541	4343	3670
542	4352	3662
543	4360	3655
544	4369	3648
545	4378	3640
546	4386	3632
547	4394	3624
548	4401	3615
549	4409	3608
550	4418	3600
551	4426	3592
552	4434	3584
553	4441	3575
554	4449	3567
555	4456	3558
556	4464	3550
557	4471	3542
558	4479	3534
559	4485	3524
560	4491	3514
561	4497	3505
562	4502	3495
563	4511	3487
564	4519	3479
565	4528	3472
566	4537	3464
567	4546	3457
568	4552	3448
569	4560	3440
570	4566	3430
571	4573	3422
572	4580	3413
573	4586	3403
574	4593	3395
575	4599	3385
576	4606	3376
577	4613	3368
578	4619	3358
579	4627	3350
580	4633	3341
581	4639	3332
582	4646	3323
583	4653	3314
584	4660	3305
585	4666	3296
586	4673	3288
587	4680	3279
588	4686	3270
589	4693	3261
590	4698	3251
591	4706	3243
592	4712	3234
593	4717	3224
594	4726	3216
595	4732	3207
596	4739	3199
597	4745	3190
598	4751	3180
599	4758	3172
600	4764	3162
601	4770	3153
602	4776	3144
603	4782	3135
604	4790	3127
605	4797	3119
606	4804	3110
607	4811	3101
608	4817	3092
609	4824	3084
610	4831	3075
611	4838	3067
612	4844	3058
613	4850	3049
614	4857	3040
615	4864	3032
616	4871	3023
617	4877	3015
618	4883	3006
619	4891	2997
620	4897	2989
621	4905	2980
622	4911	2972
623	4918	2963
624	4924	2954
625	4930	2945
626	4938	2937
627	4944	2929
628	4951	2920
629	4958	2911
630	4964	2903
631	4971	2894
632	4977	2885
633	4984	2877
634	4991	2869
635	4997	2860
636	5005	2852
637	5011	2843
638	5019	2835
639	5027	2828
640	5035	2819
641	5042	2811
642	5051	2804
643	5059	2797
644	5067	2789
645	5074	2781
646	5082	2772
647	5090	2764
648	5097	2756
649	5105	2748
650	5112	2740
651	5119	2732
652	5126	2724
653	5134	2716
654	5143	2708
655	5150	2700
656	5157	2692
657	5164	2684
658	5171	2676
659	5179	2667
660	5186	2659
661	5193	2651
662	5201	2643
663	5208	2635
664	5225	2632
665	5240	2628
666	5252	2622
667	5264	2616
668	5273	2609
669	5281	2601
670	5288	2592
671	5294	2584
672	5301	2575
673	5307	2567
674	5315	2559
675	5321	2550
676	5328	2542
677	5335	2533
678	5341	2525
679	5347	2516
680	5353	2507
681	5360	2499
682	5366	2490
683	5371	2481
684	5378	2473
685	5384	2464
686	5390	2455
687	5396	2447
688	5402	2438
689	5407	2429
690	5414	2421
691	5420	2412
692	5426	2404
693	5433	2395
694	5439	2387
695	5445	2378
696	5451	2369
697	5457	2361
698	5464	2353
699	5470	2344
700	5476	2335
701	5482	2327
702	5489	2318
703	5496	2310
704	5503	2302
705	5510	2294
706	5517	2286
707	5523	2277
708	5531	2270
709	5537	2261
710	5544	2253
711	5550	2245
712	5557	2236
713	5564	2228
714	5570	2220
715	5577	2212
716	5584	2204
717	5590	2195
718	5597	2187
719	5603	2179
720	5610	2171
721	5617	2162
722	5623	2154
723	5631	2146
724	5637	2138
725	5644	2130
726	5651	2122
727	5658	2114
728	5664	2105
729	5670	2097
730	5678	2089
731	5684	2081
732	5691	2073
733	5697	2064
734	5703	2056
735	5710	2048
736	5716	2040
737	5723	2031
738	5730	2023
739	5736	2015
740	5744	2007
741	5749	1999
742	5757	1991
743	5763	1983
744	5769	1974
745	5777	1967
746	5783	1958
747	5791	1951
748	5797	1942
749	5803	1934
750	5810	1926
751	5816	1918
752	5824	1910
753	5831	1902
754	5838	1894
755	5846	1886
756	5854	1879
757	5861	1871
758	5869	1863
759	5876	1855
760	5883	1847
761	5890	1839
762	5896	1831
763	5903	1823
764	5910	1815
765	5916	1807
766	5924	1799
767	5930	1791
768	5937	1783
769	5943	1775
770	5949	1767
771	5958	1759
772	5964	1751
773	5972	1743
774	5980	1736
775	5987	1728
776	5994	1720
777	6001	1712
778	6009	1704
779	6018	1697
780	6025	1689
781	6031	1681
782	6038	1673
783	6046	1665
784	6053	1657
785	6060	1650
786	6067	1642
787	6074	1634
788	6080	1626
789	6088	1618
790	6094	1610
791	6100	1602
792	6108	1594
793	6115	1586
794	6123	1579
795	6129	1570
796	6137	1563
797	6143	1555
798	6151	1547
799	6158	1539
800	6164	1531
801	6171	1523
802	6177	1515
803	6184	1507
804	6190	1499
805	6195	1491
806	6202	1483
807	6208	1475
808	6214	1467
809	6221	1459
810	6227	1451
811	6233	1443
812	6239	1435
813	6245	1427
814	6252	1419
815	6258	1411
816	6266	1403
817	6273	1395
818	6280	1387
819	6287	1380
820	6293	1372
821	6300	1364
822	6306	1356
823	6313	1348
824	6320	1340
825	6326	1332
826	6332	1324
827	6338	1316
828	6345	1308
829	6352	1301
830	6359	1293
831	6367	1285
832	6374	1277
833	6382	1270
834	6389	1262
835	6397	1254
836	6403	1247
837	6409	1239
838	6417	1231
839	6423	1223
840	6430	1215
841	6436	1207
842	6442	1199
843	6449	1192
844	6455	1184
845	6462	1176
846	6469	1168
847	6474	1160
848	6481	1152
849	6487	1144
850	6493	1136
851	6499	1129
852	6505	1121
853	6512	1113
854	6518	1105
855	6524	1097
856	6531	1089
857	6538	1082
858	6545	1074
859	6551	1066
860	6557	1058
861	6563	1050
862	6569	1042
863	6577	1035
864	6583	1027
865	6588	1019
866	6595	1011
867	6601	1003
868	6607	996
869	6613	988
870	6619	980
871	6625	972
872	6632	964
873	6638	956
874	6644	949
875	6650	941
876	6656	933
877	6663	925
878	6669	918
879	6675	910
880	6681	902
881	6686	894
882	6693	886
883	6699	879
884	6705	871
885	6711	863
886	6718	855
887	6727	848
888	6734	840
889	6740	833
890	6746	825
891	6752	817
892	6759	809
893	6765	802
894	6771	794
895	6779	786
896	6784	779
897	6791	771
898	6797	763
899	6803	755
900	6810	748
901	6816	740
902	6822	732
903	6828	725
904	6834	717
905	6840	709
906	6847	702
907	6853	694
908	6860	686
909	6866	679
910	6873	671
911	6879	663
912	6884	656
913	6891	648
914	6899	640
915	6908	633
916	6916	626
917	6925	618
918	6931	610
919	6938	603
920	6945	595
921	6951	588
922	6959	580
923	6965	572
924	6972	565
925	6978	557
926	6983	549
927	6991	542
928	6996	534
929	7003	527
930	7010	519
931	7016	511
932	7023	504
933	7029	496
934	7035	489
935	7042	481
936	7047	473
937	7054	466
938	7060	458
939	7066	451
940	7073	443
941	7078	435
942	7085	428
943	7091	420
944	7097	413
945	7104	405
946	7110	397
947	7116	390
948	7123	382
949	7129	375
950	7135	367
951	7141	360
952	7147	352
953	7153	344
954	7159	337
955	7165	329
956	7172	322
957	7178	314
958	7185	307
959	7191	299
960	7198	292
961	7205	284
962	7211	277
963	7218	269
964	7224	262
965	7229	254
966	7237	246
967	7243	239
968	7250	231
969	7256	224
970	7262	216
971	7270	209
972	7276	201
973	7283	194
974	7289	186
975	7295	179
976	7301	171
977	7307	164
978	7313	156
979	7320	149
980	7326	141
981	7332	134
982	7338	126
983	7344	119
984	7351	111
985	7356	104
986	7363	96
987	7370	89
988	7376	82
989	7382	74
990	7388	67
991	7394	59
992	7400	52
993	7406	44
994	7412	37
995	7419	29
996	7425	22
997	7434	14
998	7441	7
999	7449	0
